21379 21379 1 70 349.257
21500 21500 1 121 551.646
21613 21613 1 113 543.45
21694 21694 1 81 431.44
21789 21789 1 95 440.194
21865 21865 1 76 395.522
21933 21933 1 68 298.651
22009 22009 1 76 395.309
22074 22074 1 65 286.541
22161 22161 1 87 443.909
22254 22254 1 93 482.116
22333 22333 1 79 403.769
22412 22412 1 79 414.036
22537 22537 1 125 605.604
22669 22669 1 132 657.848
22738 22738 1 69 355.374
22804 22804 1 66 288.732
22951 22951 1 147 741.769
23030 23030 1 79 376.389
23101 23101 1 71 329.576
23250 23250 1 149 700.745
23340 23340 1 90 474.209
23425 23425 1 85 405.231
23497 23497 1 72 321.967
23610 23610 1 113 507.713
23681 23681 1 71 332.101
23767 23767 1 86 407.685
23902 23902 1 135 683.69
23976 23976 1 74 378.797
24048 24048 1 72 387.923
24146 24146 1 98 494.282
24231 24231 1 85 381.779
24299 24299 1 68 329.211
24394 24394 1 95 449.222
24481 24481 1 87 420.284
24549 24549 1 68 344.145
24622 24622 1 73 372.073
24708 24708 1 86 382.151
24781 24781 1 73 371.97
24863 24863 1 82 432.012
24939 24939 1 76 347.274
25031 25031 1 92 406.507
25096 25096 1 65 334.264
25178 25178 1 82 390.857
25315 25315 1 137 699.298
25401 25401 1 86 415.682
25478 25478 1 77 358.112
25554 25554 1 76 363.813
25617 25617 1 63 274.175
25709 25709 1 92 478.068
25787 25787 1 78 400.648
25891 25891 1 104 510.015
26031 26031 1 140 717.007
26107 26107 1 76 391.871
26188 26188 1 81 407.816
26265 26265 1 77 351.563
26365 26365 1 100 455.89
26458 26458 1 93 441.484
26526 26526 1 68 301.511
26605 26605 1 79 345.666
26708 26708 1 103 525.355
26778 26778 1 70 347.704
26845 26845 1 67 344.356
26965 26965 1 120 556.775
27043 27043 1 78 401.58
27119 27119 1 76 382.944
27209 27209 1 90 450.625
27303 27303 1 94 420.553
27420 27420 1 117 603.293
27490 27490 1 70 324.397
27555 27555 1 65 335.504
27630 27630 1 75 390.677
27706 27706 1 76 390.157
27799 27799 1 93 424.97
27866 27866 1 67 351.147
27930 27930 1 64 337.917
28036 28036 1 106 472.231
28151 28151 1 115 520.721
28227 28227 1 76 388.316
28319 28319 1 92 464.077
28377 28377 1 58 297.901
28459 28459 1 82 366.573
28561 28561 1 102 528.332
28641 28641 1 80 415.993
28723 28723 1 82 365.817
28789 28789 1 66 346.704
28845 28845 1 56 245.896
28932 28932 1 87 450.642
29009 29009 1 77 405.399
29079 29079 1 70 318.348
